disease,error
Hydrocephalus,summary_failed
Encephalitis,summary_failed
Transverse myelitis,summary_failed
Syringomyelia,summary_failed
Myelopathy,summary_failed
Depression,summary_failed
Major depressive disorder,summary_failed
Bipolar disorder,summary_failed
Anxiety disorder,summary_failed
Generalized anxiety disorder,summary_failed
Panic disorder,summary_failed
Social anxiety disorder,summary_failed
Post-traumatic stress disorder,summary_failed
Obsessive-compulsive disorder,summary_failed
Schizophrenia,summary_failed
Schizoaffective disorder,summary_failed
Delusional disorder,summary_failed
Brief psychotic disorder,summary_failed
Attention deficit hyperactivity disorder,summary_failed
